2024-12-26 14:39:04,390 INFO    MainThread:852 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_setup.py:_flush():68] Configure stats pid to 852
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_setup.py:_flush():68] Loading settings from C:\Users\admin\.config\wandb\settings
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_setup.py:_flush():68] Loading settings from C:\Users\admin\Documents\FuzzyMachineLearning\mymodel\FuzzySystem-for-SER\wandb\settings
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\admin\Documents\FuzzyMachineLearning\mymodel\FuzzySystem-for-SER\wandb\run-20241226_143904-xdvfaq80\logs\debug.log
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\admin\Documents\FuzzyMachineLearning\mymodel\FuzzySystem-for-SER\wandb\run-20241226_143904-xdvfaq80\logs\debug-internal.log
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_init.py:init():644] calling init triggers
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'name': 'BERT_Wav2Vec', 'batch_size': 128, 'learning_rate': 0.0001, 'num_epochs': 100, 'model': 'FlexibleMMSER', 'dataset': 'IEMOCAP', 'feature': 'BERT_Wav2Vec', 'alpha': 0.1, 'k_folds': 5}
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_init.py:init():680] starting backend
2024-12-26 14:39:04,391 INFO    MainThread:852 [wandb_init.py:init():684] sending inform_init request
2024-12-26 14:39:04,425 INFO    MainThread:852 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-26 14:39:04,426 INFO    MainThread:852 [wandb_init.py:init():697] backend started and connected
2024-12-26 14:39:04,427 INFO    MainThread:852 [wandb_init.py:init():790] updated telemetry
2024-12-26 14:39:04,457 INFO    MainThread:852 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2024-12-26 14:39:05,339 INFO    MainThread:852 [wandb_init.py:init():874] starting run threads in backend
2024-12-26 14:39:05,838 INFO    MainThread:852 [wandb_run.py:_console_start():2374] atexit reg
2024-12-26 14:39:05,838 INFO    MainThread:852 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2024-12-26 14:39:05,838 INFO    MainThread:852 [wandb_run.py:_redirect():2289] Wrapping output streams.
2024-12-26 14:39:05,838 INFO    MainThread:852 [wandb_run.py:_redirect():2314] Redirects installed.
2024-12-26 14:39:05,841 INFO    MainThread:852 [wandb_init.py:init():916] run started, returning control to user process
2024-12-26 14:42:30,084 INFO    MainThread:852 [wandb_run.py:_finish():2100] finishing run minhnhut05032004-aita-lab/FlexibleMMSER-Alpha-Experiment/xdvfaq80
2024-12-26 14:42:30,084 INFO    MainThread:852 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 0
2024-12-26 14:42:30,085 INFO    MainThread:852 [wandb_run.py:_restore():2321] restore
2024-12-26 14:42:30,085 INFO    MainThread:852 [wandb_run.py:_restore():2327] restore done
2024-12-26 14:42:33,329 INFO    MainThread:852 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2024-12-26 14:42:33,330 INFO    MainThread:852 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2024-12-26 14:42:33,337 INFO    MainThread:852 [wandb_run.py:_footer_sync_info():3853] logging synced files
